date,cash,position_value,total_value,daily_return,shares_held,year,month
2022-12-19,96982.59801338297,4002.7236599476882,100985.32167333066,0.0018164242139679931,10,2022,12
2022-12-20,96982.59801338297,3986.7429837504965,100969.34099713346,-0.0001582475149101148,10,2022,12
2022-12-21,96982.59801338297,4059.4080155120178,101042.00602889499,0.0007196742203516848,10,2022,12
2022-12-22,96982.59801338297,3929.998290811648,100912.59630419462,-0.0012807517366921761,10,2022,12
2022-12-23,96982.59801338297,3970.509390352173,100953.10740373515,0.00040144740125813705,10,2022,12
2022-12-24,96982.59801338297,3888.4263063130497,100871.02431969602,-0.0008130813023006223,10,2022,12
2022-12-25,96982.59801338297,3872.807250617668,100855.40526400064,-0.00015484184681102686,10,2022,12
2022-12-26,96982.59801338297,3943.2489925628042,100925.84700594578,0.0006984429021006378,10,2022,12
2022-12-27,96982.59801338297,3967.1396627066624,100949.73767608963,0.00023671508193978674,10,2022,12
2022-12-28,96982.59801338297,4081.4041889890514,101064.00220237202,0.0011318952273955407,10,2022,12
2022-12-29,96982.59801338297,4134.384575623929,101116.9825890069,0.0005242260892142081,10,2022,12
2022-12-30,96982.59801338297,4197.05480808032,101179.6528214633,0.0006197794955089542,10,2022,12
2022-12-31,96982.59801338297,4256.858668690591,101239.45668207356,0.0005910660784316235,10,2022,12
2023-01-01,96982.59801338297,4257.794532638007,101240.39254602097,9.244063313706974e-06,10,2023,1
2023-01-02,96982.59801338297,4440.198999981592,101422.79701336456,0.0018016965635594406,10,2023,1
2023-01-03,96982.59801338297,4440.552340627818,101423.1503540108,3.4838385121194193e-06,10,2023,1
2023-01-04,96982.59801338297,4465.332409230282,101447.93042261325,0.00024432359393267156,10,2023,1
2023-01-05,96982.59801338297,4488.741082915925,101471.33909629889,0.00023074569967196368,10,2023,1
2023-01-06,96982.59801338297,4573.4911077765455,101556.08912115952,0.000835211455918472,10,2023,1
2023-01-07,96982.59801338297,4700.453313524217,101683.0513269072,0.0012501683241878947,10,2023,1
2023-01-08,96982.59801338297,4861.387346066954,101843.98535944993,0.0015827026278483203,10,2023,1
2023-01-09,96982.59801338297,4850.9852149220715,101833.58322830504,-0.00010213790346258467,10,2023,1
2023-01-10,96982.59801338297,5148.766938761181,102131.36495214415,0.0029241996048741115,10,2023,1
2023-01-11,96982.59801338297,4995.235407955186,101977.83342133816,-0.0015032750309166287,10,2023,1
2023-01-12,96982.59801338297,5093.138513454385,102075.73652683735,0.0009600430036074137,10,2023,1
2023-01-13,96982.59801338297,5050.687501850074,102033.28551523304,-0.00041587759293948423,10,2023,1
2023-01-14,96982.59801338297,5226.505132824203,102209.10314620717,0.0017231399546364656,10,2023,1
2023-01-15,96982.59801338297,5190.585589533168,102173.18360291613,-0.00035143193889153324,10,2023,1
2023-01-16,96982.59801338297,5151.688202618698,102134.28621600167,-0.0003807005472751257,10,2023,1
2023-01-17,96982.59801338297,5141.181075609009,102123.77908899199,-0.00010287561013022639,10,2023,1
2023-01-18,96982.59801338297,5103.326809806981,102085.92482318995,-0.00037067043679461786,10,2023,1
2023-01-19,96982.59801338297,5101.512416255615,102084.11042963859,-1.77731999245756e-05,10,2023,1
2023-01-20,96982.59801338297,5023.700941309455,102006.29895469242,-0.0007622290542443899,10,2023,1
2023-01-21,96982.59801338297,5117.3010064068585,102099.89901978982,0.0009175910316967517,10,2023,1
2023-01-22,96982.59801338297,5246.766794873669,102229.36480825664,0.0012680305241214995,10,2023,1
2023-01-23,96982.59801338297,5305.409951335487,102288.00796471846,0.0005736429701173051,10,2023,1
2023-01-24,96982.59801338297,5441.043725130294,102423.64173851327,0.0013259987802440865,10,2023,1
2023-01-25,96982.59801338297,5456.2150166565825,102438.81303003956,0.0001481229457260813,10,2023,1
2023-01-26,96982.59801338297,5356.171763446911,102338.76977682988,-0.0009766147249318236,10,2023,1
2023-01-27,96982.59801338297,5520.50990989067,102503.10792327364,0.0016058249166188698,10,2023,1
2023-01-28,96982.59801338297,5395.058416091035,102377.65642947401,-0.0012238799031687453,10,2023,1
2023-01-29,96982.59801338297,5568.30757211368,102550.90558549666,0.0016922555376328585,10,2023,1
2023-01-30,96982.59801338297,5662.422509457573,102645.02052284054,0.0009177387250414171,10,2023,1
2023-01-31,96982.59801338297,5625.8571574864845,102608.45517086946,-0.0003562311331306578,10,2023,1
2023-02-01,96982.59801338297,5377.472448069967,102360.07046145294,-0.0024207041125694495,10,2023,2
2023-02-02,96982.59801338297,5374.359665153351,102356.95767853632,-3.0410128701419126e-05,10,2023,2
2023-02-03,96982.59801338297,5505.920998858282,102488.51901224126,0.0012853189142072452,10,2023,2
2023-02-04,96982.59801338297,5544.758000487717,102527.3560138707,0.00037894002180660635,10,2023,2
2023-02-05,96982.59801338297,5328.107005031733,102310.70501841471,-0.0021131042863007377,10,2023,2
2023-02-06,96982.59801338297,5105.68921582652,102088.2872292095,-0.002173944448581211,10,2023,2
2023-02-07,96982.59801338297,5065.6632225684925,102048.26123595146,-0.00039207233605720315,10,2023,2
2023-02-08,96982.59801338297,4973.884816930614,101956.48283031359,-0.0008993627576433516,10,2023,2
2023-02-09,96982.59801338297,5080.182679352864,102062.78069273583,0.0010425807116076768,10,2023,2
2023-02-10,96982.59801338297,5224.57504711123,102207.1730604942,0.001414740679984705,10,2023,2
2023-02-11,96982.59801338297,5089.821070884146,102072.41908426712,-0.001318439520358483,10,2023,2
2023-02-12,96982.59801338297,5273.364605266097,102255.96261864906,0.0017981697311437728,10,2023,2
2023-02-13,96982.59801338297,5378.478465397584,102361.07647878055,0.0010279484681348094,10,2023,2
2023-02-14,96982.59801338297,5407.165759302603,102389.76377268558,0.00028025588330904405,10,2023,2
2023-02-15,96982.59801338297,5264.932138189686,102247.53015157266,-0.0013891390689081407,10,2023,2
2023-02-16,96982.59801338297,5375.289368249952,102357.88738163293,0.0010793143843834674,10,2023,2
2023-02-17,96982.59801338297,5136.201946618623,102118.79996000159,-0.00233579871319467,10,2023,2
2023-02-18,96982.59801338297,5117.796106019059,102100.39411940203,-0.00018023949171719345,10,2023,2
2023-02-19,96982.59801338297,5240.511394367766,102223.10940775074,0.0012019080769190005,10,2023,2
2023-02-20,96982.59801338297,5394.374139558837,102376.9721529418,0.0015051659657243643,10,2023,2
2023-02-21,96982.59801338297,5660.137673640648,102642.73568702363,0.002595930788857448,10,2023,2
2023-02-22,96982.59801338297,5734.700592055839,102717.29860543882,0.0007264315191535253,10,2023,2
2023-02-23,96982.59801338297,5910.668872776549,102893.26688615952,0.0017131318980323496,10,2023,2
2023-02-24,96982.59801338297,6011.356789827676,102993.95480321065,0.0009785666263522064,10,2023,2
2023-02-25,96982.59801338297,6296.384215429426,103278.9822288124,0.002767418982466907,10,2023,2
2023-02-26,96982.59801338297,6516.03053298816,103498.62854637114,0.002126728137890721,10,2023,2
2023-02-27,96982.59801338297,6515.924916523032,103498.522929906,-1.020462460421534e-06,10,2023,2
2023-02-28,96982.59801338297,6625.676843763994,103608.27485714697,0.0010604202275938945,10,2023,2
2023-03-01,96982.59801338297,6629.404328780116,103612.00234216309,3.597671152477666e-05,10,2023,3
2023-03-02,96982.59801338297,6760.05201317549,103742.65002655846,0.001260931952303368,10,2023,3
2023-03-03,96982.59801338297,6488.1215903693865,103470.71960375235,-0.0026212018175407747,10,2023,3
2023-03-04,96982.59801338297,6564.054603370027,103546.652616753,0.0007338599102377774,10,2023,3
2023-03-05,96982.59801338297,6586.4861708374565,103569.08418422042,0.00021663247338810088,10,2023,3
2023-03-06,96982.59801338297,6299.992063725467,103282.59007710844,-0.0027662126142043997,10,2023,3
2023-03-07,96982.59801338297,6213.343045239198,103195.94105862216,-0.0008389508669524037,10,2023,3
2023-03-08,96982.59801338297,6163.290352731288,103145.88836611426,-0.000485025786813309,10,2023,3
2023-03-09,96982.59801338297,6241.45662989993,103224.0546432829,0.0007578225211575251,10,2023,3
2023-03-10,96982.59801338297,6170.632739587505,103153.23075297047,-0.0006861180812668399,10,2023,3
2023-03-11,96982.59801338297,6235.446984211372,103218.04499759435,0.0006283297590463643,10,2023,3
2023-03-12,96982.59801338297,6351.038799348472,103333.63681273145,0.0011198799118874447,10,2023,3
2023-03-13,96982.59801338297,6431.303547993577,103413.90156137655,0.0007767533508045155,10,2023,3
2023-03-14,96982.59801338297,6280.96698008386,103263.56499346683,-0.0014537365445059791,10,2023,3
2023-03-15,96982.59801338297,6179.508727582128,103162.1067409651,-0.000982517430113461,10,2023,3
2023-03-16,96982.59801338297,6092.487189651337,103075.08520303431,-0.0008435416906451554,10,2023,3
2023-03-17,96982.59801338297,6154.210514170698,103136.80852755367,0.0005988190492181023,10,2023,3
2023-03-18,96982.59801338297,6033.7878529216705,103016.38586630464,-0.0011676011985271018,10,2023,3
2023-03-19,96982.59801338297,5790.017055942552,102772.61506932552,-0.002366330316572074,10,2023,3
2023-03-20,96982.59801338297,5824.702676036217,102807.3006894192,0.0003374986621706988,10,2023,3
2023-03-21,96982.59801338297,5568.0697025429545,102550.66771592593,-0.00249625242343976,10,2023,3
2023-03-22,96982.59801338297,5679.778302425813,102662.37631580878,0.0010893015362152259,10,2023,3
2023-03-23,96982.59801338297,5724.372327235586,102706.97034061856,0.0004343755366873481,10,2023,3
2023-03-24,96982.59801338297,5702.05736545,102684.65537883298,-0.00021726823127554695,10,2023,3
2023-03-25,96982.59801338297,5688.7188589347115,102671.31687231768,-0.00012989775800564818,10,2023,3
2023-03-26,96982.59801338297,5729.557207552169,102712.15522093514,0.0003977581067577951,10,2023,3
2023-03-27,96982.59801338297,5759.948604007499,102742.54661739047,0.00029588899570809346,10,2023,3
2023-03-28,96982.59801338297,5782.0742934972695,102764.67230688024,0.00021535079884826835,10,2023,3
2023-03-29,96982.59801338297,5726.808668595294,102709.40668197826,-0.000537788168456732,10,2023,3
2023-03-30,96982.59801338297,5885.729219398271,102868.32723278124,0.0015472833106227046,10,2023,3
2023-03-31,102832.34383401654,0.0,102832.34383401654,-0.00034980056284261707,0,2023,3
2023-04-01,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-02,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-03,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-04,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-05,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-06,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-07,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-08,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-09,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-10,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-11,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-12,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-13,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-14,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-15,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-16,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-17,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-18,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-19,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-20,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-21,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-22,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-23,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-24,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-25,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-26,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-27,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-28,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-29,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-04-30,102832.34383401654,0.0,102832.34383401654,0.0,0,2023,4
2023-05-01,102217.42936664705,613.9934771537664,102831.42284380081,-8.956230903578444e-06,1,2023,5
2023-05-02,102217.42936664705,625.5353553196854,102842.96472196674,0.00011224077083382689,1,2023,5
2023-05-03,102217.42936664705,610.6087181214994,102828.03808476854,-0.00014514009041399767,1,2023,5
2023-05-04,102217.42936664705,634.0548688883023,102851.48423553535,0.0002280132073264607,1,2023,5
2023-05-05,102217.42936664705,660.9772076927488,102878.4065743398,0.0002617593611269342,1,2023,5
2023-05-06,102217.42936664705,658.4036227937676,102875.83298944081,-2.501579276625865e-05,1,2023,5
2023-05-07,102217.42936664705,673.3637517014978,102890.79311834855,0.00014541927363320717,1,2023,5
2023-05-08,102217.42936664705,669.4791150726637,102886.90848171971,-3.7754948825852175e-05,1,2023,5
